Parcel_ID,Cluster,Patch_ID,Parcel_Size,Crop_Label,NDVI_Min,NDVI_Max,NDVI_Mean,NDVI_Std,NDVI_Peak_Value,NDVI_Peak_Timestep,NDVI_Slope,EVI_Min,EVI_Max,EVI_Mean,EVI_Std,EVI_Peak_Value,EVI_Peak_Timestep,EVI_Slope,NDVI_Range,EVI_Range,NDVI_CV,EVI_CV
10000_10551237,4,10000,152,,-0.8671655053494921,0.9293022851449596,0.0375504213269638,0.4198359056343094,0.9293022851449596,27,-0.002866695025923,-1.0,1.9994900448812,0.1637494419627165,0.7105532145059129,1.9994900448812,8,0.004127619095308,1.7964677904944517,2.9994900448812,11.180588099738769,4.339270794431092
10000_10551238,0,10000,171,,-0.7530408214231594,0.9479803099544906,0.1828536407447306,0.4293936835361227,0.9479803099544906,23,0.0014496641647362,-1.0,2.0,0.2615760365665438,0.7561803497005505,2.0,8,0.0218852836744893,1.70102113137765,3.0,2.34829155331205,2.89086236918938
10000_10551239,1,10000,260,,-0.8752102622869165,0.9307692307692308,0.2326524030988659,0.4835819310747544,0.9307692307692308,32,-0.0114346548021366,-1.0,1.9933366728342,0.7173775174337838,0.9351287330175558,1.9933366728342,32,-0.0051234238373496,1.8059794930561472,2.9933366728342,2.078559704726792,1.3035378127367827
10000_10551413,3,10000,154,,-0.9377747537417312,1.0,0.025801286671768,0.4866804642669071,1.0,27,-0.0057760387706762,-1.0,2.0,0.0836212379914393,0.7021714265379081,2.0,8,0.0055407838346761,1.9377747537417316,3.0,18.862635876724568,8.397045528545474
10000_10551414,4,10000,55,,-0.6895715203930532,0.9064587110326962,0.225692433436992,0.3882732734414581,0.9064587110326962,32,0.0081988155540932,-1.0,2.0,0.0430368600966501,0.7159192329609865,2.0,8,0.0080491959969717,1.5960302314257495,3.0,1.7203645258502185,16.635020886816562
10000_10551415,3,10000,250,,-0.9894246257705552,0.976,0.0115910622526668,0.5218763144639261,0.976,27,-0.0033416172531773,-1.0,1.904924260170213,0.206273303349903,0.6718615304058979,1.904924260170213,27,0.0017332160707111,1.965424625770555,2.9049242601702128,45.02398941943056,3.2571422812519333
10000_10551416,3,10000,183,,-0.6530849417425246,0.9327859795274284,0.1431292051912245,0.373997402286387,0.9327859795274284,27,0.0022471056739207,-1.0,2.0,0.365439098373187,0.7352109412128236,2.0,8,0.0215030109451281,1.585870921269953,3.0,2.6130053307894983,2.011856214529795
10000_10554458,4,10000,96,,-0.8581534727541061,0.9997662828631468,0.0553918158233647,0.4996929787939383,0.9997662828631468,19,0.0169985386487471,-0.9935324988651706,1.9964740936205985,0.4463979923206072,0.8347782174785485,1.9964740936205985,8,-0.0160072250161727,1.8579197556172529,2.990006592485769,9.02105990128174,1.8700312571717177
10000_10555461,3,10000,177,,-0.9236789172270646,0.9861244484527444,0.1502363176619761,0.4962452061636642,0.9861244484527444,23,-0.015909345966611,-1.0,2.0,0.6671051667086403,0.8499207722365986,2.0,29,0.00475369874109,1.9098033656798088,3.0,3.303097286031845,1.2740431372904837
10000_10561111,4,10000,53,,-0.906574514497362,0.9552166798188064,-0.0789756731894839,0.4788792550067275,0.9552166798188064,32,-0.0016110410944138,-1.0,1.9988807892793752,0.3835749392862861,0.798629894546678,1.9988807892793752,8,0.0056000800487447,1.8617911943161685,2.998880789279375,-6.063630689086669,2.082069999703266
