patch_id,ndvi_mean_temporal,ndvi_std_temporal,ndvi_trend,ndvi_peak_time,ndvi_peak_value,evi_mean_temporal,evi_std_temporal,savi_mean_temporal,ndwi_mean_temporal,vegetation_amplitude,ndvi_spatial_variance,evi_spatial_variance,ndvi_spatial_cv,ndvi_texture_entropy,ndvi_texture_contrast,ndvi_max,ndvi_min,evi_max,evi_min,ndvi_range,early_growth_rate,late_growth_rate,growing_season_length,senescence_rate,greenup_rate,healthy_coverage,moderate_coverage,stressed_coverage,bare_coverage,n_healthy_regions,n_stressed_regions,total_regions,fragmentation_index,diversity_index,stress_score,vegetation_vigor,temporal_stability,health_score,stress_indicator
10000,0.04449462890625,0.17909780668225278,-0.001102338057563802,0,0.36480712890625,0.44994691360828487,0.5665719084312929,0.273182003997093,0.01026100336119186,0.83154296875,0.001278726310504972,0.02786656132440363,0.8036583308700833,0.045214543644257706,0.011288946064270349,1,-1,1,-1,2,-0.040534125434027776,0.0,1,-0.0358428955078125,-0.040534125434027776,0.0,0.0,6.488037109375,93.511962890625,0,81,81,0.0,1.5729523951624511,6488037.109375,0.0,5.583510122287665,Stressed,Moderate Stress
10001,0.024994606195494186,0.09577377057479228,0.0012792496838190878,27,0.1915283203125,0.6288281817768895,0.551639628046448,0.36623080941133723,0.00017600835755813952,0.44989013671875,0.0016585918855609087,0.03113794129940224,1.62931889650753,0.01451651626072023,0.01197388657937284,1,-1,1,-1,2,0.0,0.0023396809895833335,0,-0.047882080078125,0.0,0.0,0.03662109375,5.4931640625,94.47021484375,0,65,65,0.0,1.579191347165497,5493164.0625,0.0,10.441163095442569,Stressed,Moderate Stress
10002,0.08905739007994186,0.25748962682149934,0.002742480454002756,12,0.5181884765625,0.5597732898800872,0.574493236718183,0.40691996729651164,0.010473916696947675,0.9437255859375,0.004326647644174493,0.031029565065389973,0.7385857496936189,0.21226320608521348,0.020492548235135254,1,-1,1,-1,2,-0.022467719184027776,0.054361979166666664,5,-0.1228790283203125,-0.022467719184027776,0.0,1.220703125,32.672119140625,66.107177734375,0,126,126,0.0,1.5592974831131123,32672119.140625,0.0,3.8836365126922923,Stressed,Moderate Stress
10003,0.027833450672238372,0.1380102118379364,0.0013468657977197217,24,0.47808837890625,0.38972366687863375,0.5260714510368701,0.25214900526889533,-0.007060206213662791,0.75030517578125,0.000845519994048572,0.03201729412003747,1.0446703922364176,0.11097266066304796,0.008938871750128197,1,-1,1,-1,2,0.0,0.007724338107638889,1,-0.1195220947265625,0.0,0.0,0.0,2.64892578125,97.35107421875,0,38,38,0.0,1.435881201182851,2648925.78125,0.0,7.245788126071079,Stressed,Moderate Stress
10004,0.027018702307412792,0.12678198451290604,0.0006621420401455371,42,0.3001708984375,0.4890505768531977,0.5746323831439996,0.20859545330668605,-0.00011355377906976744,0.6990966796875,0.0011681533761608593,0.03627640701197753,1.264938393250196,0.044398158283598894,0.011276697695298779,1,-1,1,-1,2,-8.138020833333333e-05,0.03335232204861111,1,0.0,-8.138020833333333e-05,0.0,0.0732421875,3.057861328125,96.868896484375,0,64,64,0.0,1.5765630708146032,3057861.328125,0.0,7.88749376615443,Stressed,Moderate Stress
10005,0.030550224836482558,0.13126933827970388,0.0011632073073184082,11,0.32598876953125,0.5790845294331395,0.5353802954111341,0.3011077171148256,-9.226244549418605e-05,0.65313720703125,0.0011436946150127007,0.045350416181150675,1.1069459402053288,0.006741415938853299,0.013757094216766897,1,0,1,-1,1,-0.00020345052083333334,0.029324001736111112,1,-0.0814971923828125,-0.00020345052083333334,0.0,0.006103515625,3.271484375,96.722412109375,0,77,77,0.0,1.5572176698669618,3271484.375,0.0,7.617867167137582,Stressed,Moderate Stress
10006,0.05613389126090116,0.206282754037427,0.0010727698332735592,0,0.494384765625,0.5476400685864825,0.605562875253614,0.34043139080668605,-0.00019446084665697674,0.88787841796875,0.001599264326628767,0.025875256164629053,0.7124054599070644,0.014785962079765907,0.015386389065536882,1,-1,1,-1,2,-0.054931640625,0.041971842447916664,4,-0.0510101318359375,-0.054931640625,0.0,0.0,11.77978515625,88.22021484375,0,120,120,0.0,1.6063127835018882,11779785.15625,0.0,4.847691494981062,Stressed,Moderate Stress
10007,-0.12673311455305233,0.30033604878768644,0.0032978985324722526,32,0.2086181640625,0.18748580577761628,0.4662021202514806,-0.0881759288699128,-0.038361305414244186,1.01776123046875,0.017835808110968885,0.049520580034568024,-1.0538036886625048,1.57180952147268,0.016767817136982315,1,-1,1,-1,2,0.025763617621527776,0.0,0,-0.185455322265625,0.025763617621527776,0.0,0.0,0.091552734375,99.908447265625,0,7,7,0.0,1.603098214332023,91552.734375,-0.0,3.3295925495589382,Stressed,Moderate Stress
10008,0.021297011264534885,0.14634931694093653,-0.00010042873187858589,0,0.29498291015625,0.4639438363008721,0.5677470739172235,0.21308792469113372,-0.0007522937863372093,0.68829345703125,0.003258721611833753,0.07775127461402723,2.6803072311133667,0.44544805922988107,0.014462354410342607,1,-1,1,-1,2,-0.03272840711805555,0.022562662760416668,0,-0.0699310302734375,-0.03272840711805555,0.0,0.08544921875,4.47998046875,95.4345703125,0,94,94,0.0,1.507239359872962,4479980.46875,0.0,6.832919947850717,Stressed,Moderate Stress
10009,0.04322140715843023,0.18348754623048,0.0018557931893687701,24,0.73797607421875,0.4389463912609012,0.5255442098332864,0.333240597747093,0.003400935683139535,0.90667724609375,0.0010563158921256715,0.016580890050171,0.751948256608422,-1.4426951601859516e-10,0.007679746375335548,1,0,1,-1,1,-0.00048828125,0.013909233940972222,1,-0.1844940185546875,-0.00048828125,0.0,0.0,7.965087890625,92.034912109375,0,21,21,0.0,1.556770911798086,7965087.890625,0.0,5.449931456451237,Stressed,Moderate Stress
