Parcel_ID,Is_Anomaly,Anomaly_Score,Patch_ID,Parcel_Size,Crop_Label,NDVI_Min,NDVI_Max,NDVI_Mean,NDVI_Std,NDVI_Peak_Value,NDVI_Peak_Timestep,NDVI_Slope,EVI_Min,EVI_Max,EVI_Mean,EVI_Std,EVI_Peak_Value,EVI_Peak_Timestep,EVI_Slope,NDVI_Range,EVI_Range,NDVI_CV,EVI_CV,NDVI_Derivative_Mean,NDVI_Derivative_Std,NDVI_Derivative_Min,NDVI_Derivative_Max,NDVI_Negative_Slope_Count,NDVI_Sharp_Drop_Count
10000_5391193,False,-0.4279139913357763,10000,56,,-0.930774833718954,0.9999940351797648,-0.0493558901341258,0.4574178188032413,0.9999940351797648,6,-0.0080009314457462,-1.0,2.0,0.2414256811645247,0.6762356851978457,2.0,8,-0.00411605172385,1.9307688688987183,3.0,-9.267747177442628,2.80100962716934,-0.032009130199199966,0.6664334357853434,-1.9073503787166066,1.3312274621900437,20,19
10000_5391203,False,-0.4311398098405076,10000,48,,-0.8883875177026344,0.940832585662734,-0.0065105803576495,0.4308060944983833,0.940832585662734,23,0.003146709585836,-1.0,1.995088887879442,0.2341356654294602,0.803180215543534,1.995088887879442,8,-0.0306734783585009,1.8292201033653688,2.995088887879442,-66.17025403806811,3.430405101957707,-0.01476297391897941,0.5546293718780002,-1.4461769643431053,1.209484256337161,18,14
10000_5391480,False,-0.41460364519734894,10000,146,,-0.9762907639831956,0.8975740293585067,0.0894636933313539,0.5364482220865622,0.8975740293585067,39,0.00662446994083,-1.0,1.995390365369088,0.597728660833171,0.9361810151507328,1.995390365369088,8,-0.0418981931077924,1.8738647933417023,2.9953903653690874,5.9962666658194985,1.5662307344999773,-0.0007508354514053972,0.640625642833567,-1.2030109032500187,1.4764925823886843,20,16
10000_5391481,False,-0.3990518871567919,10000,222,,-0.9107742464196348,0.9723798878702976,0.0634874964873972,0.5514521636744392,0.9723798878702976,22,-0.0113472048837567,-1.0,2.0,0.1623643898448829,0.8054758374324448,2.0,8,0.0126540480681404,1.8831541342899325,3.0,8.685994996258144,4.960914080931332,0.00750219647886551,0.7039870308404104,-1.6086690681180733,1.5632644866261742,21,18
10000_5391486,False,-0.4147706371576851,10000,150,,-0.9253431509522804,0.907898376809178,0.0545681829032444,0.4966510077794047,0.907898376809178,19,-0.0117227437695614,-1.0,1.946659338395071,0.3834277722905566,0.8498529415343955,1.946659338395071,8,-0.0192226914501839,1.8332415277614584,2.946659338395071,9.101474345320964,2.216461562741919,-0.010735735353197001,0.639462604377751,-1.8209323832264956,1.1342907812897296,18,18
10000_5391487,False,-0.41514290123158304,10000,101,,-0.8465533891946708,0.8839953098314378,0.0553596556007823,0.4571127957873537,0.8839953098314378,24,-0.0097604783740099,-1.0,1.96195685702862,0.5369510203630014,0.825221458015996,1.96195685702862,8,-0.0210843752632933,1.7305486990261087,2.9619568570286194,8.257145176485565,1.5368653961947176,0.000618915837422317,0.676174044143657,-1.2622290792955544,1.6836271696948968,18,17
10000_5391491,False,-0.44783863847830974,10000,101,,-0.9834683660800771,0.8220105079656865,0.1128417295388707,0.5265517815219976,0.8220105079656865,19,-0.007032889837954,-1.0,1.9965365446017456,0.4997789152663103,0.954602731312344,1.9965365446017456,8,-0.0445525367984088,1.805478874045764,2.996536544601746,4.666285575477288,1.910049990210528,-0.018933400790433146,0.5199837957360881,-1.2816368994362897,0.9059733038399391,20,13
10000_5391582,False,-0.43495084410119406,10000,52,,-0.6651386952816035,0.9123790033621416,0.0998229834974862,0.3553781493613612,0.9123790033621416,23,-0.005364892146273,-1.0,2.0,-0.0018076334942639,0.6705932643418949,2.0,8,0.0033578044585145,1.5775176986437454,3.0,3.560083072146204,-370.98060877713147,-0.010861033893280561,0.4679749333366846,-1.0506714513128674,1.0031970407786615,19,15
10000_5404595,False,-0.40330847179414053,10000,148,,-0.9878364062950484,0.8591139629474529,0.0203239916559594,0.5190220758618699,0.8591139629474529,9,-0.0023563037931714,-1.0,2.0,0.460358194477442,0.9019686886919782,2.0,8,-0.0178387886759345,1.846950369242501,3.0,25.53739586562573,1.959275798539995,-0.019935781359604172,0.4962567486942133,-1.112819091930292,1.109499534135713,20,16
10000_5404600,False,-0.4101831088201438,10000,38,,-0.9567782836176388,0.8518722707400908,-0.0732815718889124,0.4388362778892537,0.8518722707400908,23,0.0111219585568704,-1.0,2.0,0.2786023285933613,0.6897781782457909,2.0,8,-0.0221779080696413,1.8086505543577296,3.0,-5.988358689113178,2.4758520755009457,-0.01901173063185243,0.5853832516953598,-1.2415044014002734,1.1629743346833241,22,18
