Parcel_ID,Is_Anomaly,Anomaly_Score,Patch_ID,Parcel_Size,Crop_Label,NDVI_Min,NDVI_Max,NDVI_Mean,NDVI_Std,NDVI_Peak_Value,NDVI_Peak_Timestep,NDVI_Slope,EVI_Min,EVI_Max,EVI_Mean,EVI_Std,EVI_Peak_Value,EVI_Peak_Timestep,EVI_Slope,NDVI_Range,EVI_Range,NDVI_CV,EVI_CV,NDVI_Derivative_Mean,NDVI_Derivative_Std,NDVI_Derivative_Min,NDVI_Derivative_Max,NDVI_Negative_Slope_Count,NDVI_Sharp_Drop_Count
10005_12870235,True,-0.6372133295948661,10005,1937,,-0.7002776811813486,0.3860355076815753,-0.0876498585405251,0.2683918422059102,0.3860355076815753,10,-0.00501401871858,-0.7417313601795894,1.638623449107119,0.3762722715710458,0.5618920319687599,1.638623449107119,0,-0.0026843548663784,1.0863131888629238,2.3803548092867084,-3.062091340429625,1.4933123152805672,-0.0027009980114736784,0.27143223755368656,-0.7438054755727482,0.4414566945829465,20,13
10030_14173888,True,-0.6370265843384797,10030,108,,-0.4390272364803984,0.4527329520849679,0.0563037106824078,0.2190258688541671,0.4527329520849679,22,-0.0044977503433181,-0.5032238310360816,1.307006144755269,0.233556409510683,0.4885915332079877,1.307006144755269,22,0.0062652644102225,0.8917601885653663,1.8102299757913505,3.8900780658817418,2.0919636216021,-0.005213428615048467,0.3212018845526808,-0.6795359641444361,0.736639331592269,20,15
10014_1149322,True,-0.6097482713511874,10014,103,,-0.7607139736797198,0.3329111734043359,-0.1627399789025857,0.2872951666002104,0.3329111734043359,42,-0.006858300153201,-0.9462498345355608,1.4909913831620945,0.7483016493508843,0.4981062467165907,1.4909913831620945,21,-0.0079766096452964,1.093625147084056,2.4372412176976552,-1.765363288057293,0.6656489939480743,0.016633033557418502,0.3258888453738653,-0.6226142638686687,0.7232870248432847,22,14
10030_14158796,True,-0.6026151763442297,10030,40,,-0.3256248275742713,0.5124727652274804,0.1949843520770632,0.2688698099267593,0.5124727652274804,0,-0.0027879240085497,-0.6126025347527622,1.730763429616751,0.517566611300545,0.5432360618026812,1.730763429616751,14,-0.0001597883660004,0.8380975928017518,2.3433659643695126,1.378930120665239,1.04959639869672,-0.003376150542721287,0.39161518499296233,-0.8248546673703273,0.7336321404135286,19,12
10016_14168825,True,-0.5982489350218234,10016,327,,-0.873186036871939,0.3910581077669719,-0.1817719063903932,0.275444656923124,0.3910581077669719,6,-0.0009387845665066,-0.3159837589033096,1.5688814838740162,0.409267492249123,0.4613466951177644,1.5688814838740162,5,0.0044227063986405,1.2642441446389108,1.8848652427773256,-1.515331370761236,1.127249763498057,0.0013257460419359131,0.37320382817633624,-1.0513863897804419,0.8090037769886497,18,14
10023_14150690,True,-0.5973180129957771,10023,26,,-0.1766516381072754,1.0,0.3858263089383459,0.3711553419452228,1.0,11,0.0053508628558808,-1.0,0.8461538461538461,-0.3448577951852092,0.4684411972058047,0.8461538461538461,17,-0.008010618632614,1.1766516381072756,1.8461538461538465,0.9619751782784226,-1.3583605107079828,-0.0036202856876841475,0.49768637259743514,-1.1232822184538758,1.068541531540107,20,16
10024_15759732,True,-0.5966437406063085,10024,12,,-0.5976943503757739,0.5137639387423274,-0.054756536198254,0.2582903121579528,0.5137639387423274,25,-0.0038119575977561,-0.9120971063445192,1.2421460705090377,0.1166286275750504,0.5354519654321104,1.2421460705090377,33,0.0130403955036126,1.1114582891181013,2.154243176853557,-4.71706899781726,4.591084801857069,0.0035362125029736436,0.3450302480645441,-1.1114582891181013,0.5834713999708292,20,15
10046_14149834,True,-0.5913137061938759,10046,413,,-0.8991736298715407,0.8301717167948774,0.2161049546567778,0.4361087352795525,0.8301717167948774,23,-0.0207158097025959,-1.0,1.1772932616413865,-0.231882422357469,0.6562510573297653,1.1772932616413865,41,0.0352431064084118,1.729345346666418,2.1772932616413865,2.018041260515181,-2.830102769148749,-0.018578347086621143,0.3843375917728489,-0.755010575003435,0.8753902569129648,25,14
10005_12853144,True,-0.5877362333665734,10005,51,,-0.6497272599596242,0.3392787597878308,-0.1222745445010003,0.2560830026200607,0.3392787597878308,0,0.0061370710046146,-0.8670252566644606,2.0,0.5275664101245631,0.7426297408479451,2.0,0,-0.0347620837254646,0.9890060197474552,2.8670252566644607,-2.0943281744242954,1.4076516482466863,-0.014040720585728186,0.3263167904608755,-0.9221391132475916,0.6964262161254602,21,15
10005_15375704,True,-0.5839325123376098,10005,13,,-0.6923076923076923,0.4040597694369465,-0.0090590610912128,0.2747416746504068,0.4040597694369465,11,-0.0024939881009434,-1.0,2.0,0.1483908005068506,0.6780012593780436,2.0,11,-0.0013809439442614,1.0963674617446388,3.0,-30.32786457258225,4.569024571415377,0.010267102083879225,0.25118093955239895,-0.6238498051734562,0.5192237931826291,20,13
